Intersection Name,Intersection ID,dt_bin,Direction,Movement Type,Vehicle Classification,Number of Vehicles
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 01:15:00,WB,THRU,Car,72
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 01:15:00,WB,RT,Car,12
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 01:30:00,NB,THRU,Car,192
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 01:30:00,NB,LT,Car,36
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 01:30:00,WB,RT,Car,24
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 01:30:00,WB,THRU,Car,24
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 01:45:00,NB,THRU,Car,84
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 01:45:00,WB,THRU,Car,60
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 02:00:00,NB,LT,Car,36
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 02:00:00,NB,THRU,Car,168
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 02:00:00,NB,THRU,Bus,12
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 02:00:00,WB,THRU,Car,24
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 02:15:00,NB,THRU,MotorizedVehicle,12
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 02:15:00,NB,LT,Car,12
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 02:15:00,NB,THRU,Car,192
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 02:15:00,WB,RT,Car,24
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 02:15:00,WB,THRU,Car,12
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 02:30:00,NB,LT,Car,12
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 02:30:00,NB,THRU,Car,132
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 02:30:00,WB,THRU,Car,36
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 02:30:00,WB,RT,Car,12
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 02:45:00,NB,THRU,Car,228
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 02:45:00,NB,LT,Car,36
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 02:45:00,WB,RT,Car,12
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 02:45:00,WB,THRU,Car,84
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 03:00:00,NB,LT,Car,60
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 03:00:00,NB,THRU,Car,84
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 03:00:00,NB,THRU,Bus,12
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 03:00:00,WB,THRU,Car,12
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 03:15:00,NB,LT,Car,24
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 03:15:00,NB,THRU,Car,120
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 03:15:00,WB,THRU,Car,60
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 03:30:00,NB,THRU,Car,108
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 03:30:00,NB,LT,Car,24
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 03:30:00,WB,THRU,Car,36
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 03:45:00,NB,THRU,Car,180
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 03:45:00,NB,LT,Car,12
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 03:45:00,WB,THRU,Car,72
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 04:00:00,NB,THRU,Car,48
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 04:00:00,NB,LT,Car,12
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 04:00:00,WB,THRU,Car,24
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 14:15:00,NB,THRU,Car,204
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 14:15:00,WB,RT,Car,12
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 14:15:00,WB,THRU,Car,60
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 14:30:00,NB,THRU,WorkVan,24
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 14:30:00,NB,LT,Car,12
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 14:30:00,NB,THRU,Car,432
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 14:30:00,WB,THRU,Car,156
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 14:30:00,WB,RT,Car,204
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 14:45:00,NB,THRU,Car,612
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 14:45:00,NB,LT,Car,24
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 14:45:00,WB,THRU,Car,228
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 14:45:00,WB,RT,Car,120
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 15:00:00,NB,LT,Car,24
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 15:00:00,NB,THRU,Bus,12
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 15:00:00,NB,THRU,Car,372
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 15:00:00,WB,RT,Car,180
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 15:00:00,WB,THRU,Car,264
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 15:15:00,NB,THRU,Car,420
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 15:15:00,NB,LT,Car,84
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 15:15:00,WB,THRU,WorkVan,12
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 15:15:00,WB,RT,Car,108
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 15:15:00,WB,THRU,Car,264
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 15:30:00,NB,THRU,Car,516
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 15:30:00,NB,LT,Car,72
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 15:30:00,NB,LT,WorkVan,12
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 15:30:00,WB,THRU,Car,216
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 15:30:00,WB,RT,Car,120
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 15:45:00,NB,LT,Car,24
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 15:45:00,NB,THRU,WorkVan,12
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 15:45:00,NB,THRU,Car,696
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 15:45:00,WB,RT,Car,216
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 15:45:00,WB,THRU,Car,300
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 16:00:00,NB,THRU,Bus,12
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 16:00:00,NB,THRU,WorkVan,12
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 16:00:00,NB,THRU,Car,492
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 16:00:00,WB,THRU,Car,372
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 16:00:00,WB,RT,Car,180
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 16:00:00,WB,THRU,WorkVan,12
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 16:15:00,NB,THRU,Car,492
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 16:15:00,NB,LT,WorkVan,12
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 16:15:00,WB,RT,Car,120
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 16:15:00,WB,THRU,Car,300
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 16:30:00,NB,THRU,PickupTruck,12
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 16:30:00,NB,THRU,Car,444
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 16:30:00,NB,LT,Car,12
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 16:30:00,NB,THRU,Bus,12
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 16:30:00,WB,THRU,Car,180
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 16:30:00,WB,RT,Car,108
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 16:45:00,NB,THRU,Bus,12
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 16:45:00,NB,LT,SingleUnitTruck,12
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 16:45:00,NB,LT,Car,12
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 16:45:00,NB,THRU,Car,636
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 16:45:00,WB,RT,Car,192
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 16:45:00,WB,THRU,Car,324
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 17:00:00,NB,THRU,Car,516
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 17:00:00,NB,THRU,Bus,12
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 17:00:00,NB,LT,Car,12
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 17:00:00,WB,THRU,Car,240
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 17:00:00,WB,RT,Car,72
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 17:15:00,NB,THRU,Car,540
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 17:15:00,NB,LT,Car,48
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 17:15:00,WB,RT,Car,204
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 17:15:00,WB,THRU,Car,192
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 17:30:00,NB,THRU,Car,468
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 17:30:00,WB,THRU,Car,252
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 17:30:00,WB,RT,Car,120
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 17:45:00,NB,THRU,Car,516
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 17:45:00,NB,LT,Car,24
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 17:45:00,NB,THRU,WorkVan,24
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 17:45:00,NB,THRU,Bus,12
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 17:45:00,WB,RT,Car,156
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 17:45:00,WB,THRU,Car,264
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 18:00:00,NB,THRU,WorkVan,12
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 18:00:00,NB,THRU,ArticulatedTruck,12
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 18:00:00,NB,THRU,Car,648
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 18:00:00,NB,THRU,Bus,12
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 18:00:00,NB,LT,Car,12
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 18:00:00,WB,THRU,WorkVan,12
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 18:00:00,WB,RT,Car,216
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 18:00:00,WB,THRU,Bus,12
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 18:00:00,WB,THRU,Car,216
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 18:15:00,NB,THRU,Car,720
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 18:15:00,NB,LT,Car,60
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 18:15:00,NB,THRU,WorkVan,24
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 18:15:00,WB,THRU,ArticulatedTruck,12
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 18:15:00,WB,RT,Car,168
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 18:15:00,WB,THRU,Car,264
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 18:30:00,NB,THRU,Car,780
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 18:30:00,NB,LT,Car,84
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 18:30:00,WB,THRU,PickupTruck,12
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 18:30:00,WB,THRU,Car,288
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 18:30:00,WB,RT,Car,108
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 18:45:00,NB,THRU,Car,516
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 18:45:00,NB,LT,Car,36
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 18:45:00,WB,RT,WorkVan,12
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 18:45:00,WB,THRU,Car,336
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 18:45:00,WB,RT,Car,144
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 19:00:00,NB,THRU,SingleUnitTruck,12
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 19:00:00,NB,THRU,Bus,12
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 19:00:00,NB,LT,Car,48
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 19:00:00,NB,THRU,Car,468
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 19:00:00,WB,RT,Car,120
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 19:00:00,WB,THRU,Car,300
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 19:15:00,NB,THRU,SingleUnitTruck,12
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 19:15:00,NB,LT,Car,48
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 19:15:00,NB,THRU,Car,540
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 19:15:00,WB,THRU,Car,384
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 19:15:00,WB,RT,Car,108
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 19:30:00,NB,THRU,WorkVan,24
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 19:30:00,NB,THRU,SingleUnitTruck,12
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 19:30:00,NB,THRU,Car,804
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 19:30:00,NB,LT,Car,36
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 19:30:00,WB,THRU,SingleUnitTruck,12
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 19:30:00,WB,THRU,Car,300
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 19:30:00,WB,RT,Car,84
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 19:45:00,NB,LT,Car,48
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 19:45:00,NB,THRU,Car,552
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 19:45:00,WB,RT,Car,156
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 19:45:00,WB,THRU,Car,288
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 20:00:00,NB,LT,Car,36
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 20:00:00,NB,THRU,Car,360
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 20:00:00,NB,THRU,Bus,12
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 20:00:00,WB,RT,Car,132
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 20:00:00,WB,THRU,Car,240
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 20:15:00,NB,LT,WorkVan,12
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 20:15:00,NB,THRU,Car,504
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 20:15:00,NB,LT,Car,72
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 20:15:00,NB,THRU,WorkVan,12
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 20:15:00,WB,THRU,Bus,12
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 20:15:00,WB,THRU,Car,324
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 20:15:00,WB,RT,Car,144
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 20:30:00,NB,THRU,Car,408
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 20:30:00,WB,RT,Car,156
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 20:30:00,WB,THRU,Car,300
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 20:45:00,NB,THRU,Bus,12
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 20:45:00,NB,THRU,Car,384
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 20:45:00,NB,LT,Car,24
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 20:45:00,WB,THRU,Car,252
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 20:45:00,WB,RT,Car,144
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 21:00:00,NB,LT,Car,36
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 21:00:00,NB,THRU,Bus,24
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 21:00:00,NB,THRU,Car,612
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 21:00:00,WB,THRU,Car,288
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 21:00:00,WB,RT,Car,156
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 21:15:00,NB,LT,Car,12
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 21:15:00,NB,THRU,WorkVan,12
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 21:15:00,NB,THRU,Car,456
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 21:15:00,WB,RT,Car,180
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 21:15:00,WB,THRU,Car,288
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 21:30:00,NB,THRU,Car,432
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 21:30:00,WB,RT,Car,108
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 21:30:00,WB,RT,WorkVan,12
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 21:30:00,WB,THRU,Car,216
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 21:45:00,NB,LT,Car,12
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 21:45:00,NB,THRU,Car,372
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 21:45:00,WB,THRU,Car,144
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 21:45:00,WB,RT,Car,96
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 22:00:00,NB,THRU,Bus,12
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 22:00:00,NB,THRU,Car,216
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 22:00:00,WB,RT,Car,24
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 22:00:00,WB,THRU,Car,24
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 22:15:00,NB,LT,Car,12
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 22:15:00,NB,THRU,Car,96
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 22:15:00,WB,THRU,MotorizedVehicle,12
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 22:15:00,WB,THRU,Car,36
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 22:30:00,NB,THRU,Car,168
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 22:30:00,NB,LT,Car,24
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 22:30:00,WB,THRU,Car,60
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 22:30:00,WB,RT,Car,12
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 22:45:00,NB,LT,Car,12
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 22:45:00,NB,THRU,Car,180
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 22:45:00,WB,RT,MotorizedVehicle,12
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 22:45:00,WB,RT,Car,36
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 22:45:00,WB,THRU,Car,72
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 23:00:00,NB,THRU,Car,72
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 23:00:00,NB,LT,Car,12
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 23:00:00,NB,THRU,Bus,12
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 23:00:00,WB,RT,Car,36
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 23:00:00,WB,THRU,Car,36
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 23:15:00,NB,THRU,Car,72
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 23:15:00,WB,RT,Car,48
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 23:15:00,WB,THRU,Car,24
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 23:30:00,NB,LT,Car,60
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 23:30:00,NB,THRU,Car,108
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 23:30:00,WB,THRU,Car,24
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 23:30:00,WB,RT,Car,24
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 23:45:00,NB,THRU,Car,60
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 23:45:00,NB,LT,Car,24
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 23:45:00,WB,RT,Car,12
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 23:45:00,WB,THRU,Car,36
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-01 23:45:00,WB,RT,Bus,12
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-02 00:00:00,NB,THRU,Car,84
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-02 00:00:00,NB,THRU,Bus,12
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-02 00:00:00,WB,THRU,Car,24
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-02 00:00:00,WB,RT,Car,12
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-02 00:15:00,NB,THRU,Car,24
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-02 00:15:00,WB,RT,Car,12
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-02 00:15:00,WB,THRU,MotorizedVehicle,12
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-02 00:15:00,WB,THRU,Car,12
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-02 00:15:00,WB,THRU,Bus,12
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-02 00:30:00,NB,THRU,Car,120
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-02 00:30:00,NB,LT,Bus,12
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-02 00:30:00,WB,RT,Bus,12
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-02 00:30:00,WB,RT,Car,12
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-02 00:30:00,WB,THRU,Car,12
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-02 00:45:00,NB,THRU,Car,96
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-02 00:45:00,WB,RT,Car,12
Grand Blvd W and Jeffries Fwy NSD,ce13,2019-12-02 00:45:00,WB,THRU,Car,60
